method,N,seed,estimate
importance,64,59,0.33579360519690848
missing_half,64,59,0.040680878137488559
uniform,64,60,0.34676299218187867
importance,64,60,0.3384982583094916
missing_half,64,60,0.043345374022734834
uniform,64,61,0.34840509554923627
importance,64,61,0.33522725316559498
missing_half,64,61,0.043550636943654533
uniform,64,62,0.31390311341521748
importance,64,62,0.32288468165224904
missing_half,64,62,0.039237889176902185
uniform,64,63,0.38183962488564149
importance,64,63,0.33902780230469098
missing_half,64,63,0.047729953110705187
uniform,64,64,0.31117828600523384
importance,64,64,0.32418394412832874
missing_half,64,64,0.03889728575065423
uniform,64,65,0.28861231797428066
importance,64,65,0.32163077482356162
missing_half,64,65,0.036076539746785083
uniform,64,66,0.23457280755559906
importance,64,66,0.28415398475072579
missing_half,64,66,0.029321600944449883
uniform,64,67,0.33906539538565678
importance,64,67,0.34042475604860878
missing_half,64,67,0.042383174423207097
uniform,64,68,0.34304629034885553
importance,64,68,0.3406808601261575
missing_half,64,68,0.042880786293606941
uniform,64,69,0.26608139315639778
importance,64,69,0.31492640011348294
missing_half,64,69,0.033260174144549723
uniform,64,70,0.27715024052159221
importance,64,70,0.30942756590694753
missing_half,64,70,0.034643780065199026
uniform,64,71,0.34182710255722382
importance,64,71,0.33142000020143686
missing_half,64,71,0.042728387819652977
uniform,64,72,0.31167437616684657
importance,64,72,0.33301208539228594
missing_half,64,72,0.038959297020855821
uniform,64,73,0.31760479995574326
importance,64,73,0.33145461704320506
missing_half,64,73,0.039700599994467907
uniform,64,74,0.34615294043859285
importance,64,74,0.33426316551436053
missing_half,64,74,0.043269117554824106
uniform,64,75,0.34149701975700353
importance,64,75,0.34521368677704439
missing_half,64,75,0.042687127469625441
uniform,64,76,0.40264643235548458
importance,64,76,0.35092192873299954
missing_half,64,76,0.050330804044435573
uniform,64,77,0.34976593636513031
importance,64,77,0.33813140462172908
missing_half,64,77,0.043720742045641289
uniform,64,78,0.4397764284146205
importance,64,78,0.374294561985688
missing_half,64,78,0.054972053551827563
uniform,64,79,0.35800136681045841
importance,64,79,0.33522329450268334
missing_half,64,79,0.044750170851307301
uniform,64,80,0.36327841754678603
importance,64,80,0.34681045699816365
missing_half,64,80,0.045409802193348253
uniform,64,81,0.37867600295195558
importance,64,81,0.34572990285433919
missing_half,64,81,0.047334500368994448
uniform,64,82,0.33940172392036744
importance,64,82,0.33559327578232706
missing_half,64,82,0.04242521549004593
uniform,64,83,0.26293827165754735
importance,64,83,0.3123648969783458
missing_half,64,83,0.032867283957193419
uniform,64,84,0.34199529437513232
